A1;Codigouf;Codigomunicipio;Nome;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60
1100114;11;114;JARU;Não possui estrutura;-;Sim;2006;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1994;Sim, com legislação específica;1994;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2013;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1994;Sim, com legislação específica;2013;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-
1100122;11;122;JI-PARANA;Secretaria municipal exclusiva;Ensino superior completo;Sim;2001;2011;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1983;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1983;Não;-;Não;-;Não;-;Sim, com legislação específica;2001;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, com legislação específica;2001
1100130;11;130;MACHADINHO D'OESTE;Secretaria municipal exclusiva;Ensino superior completo;Sim;2011;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2002;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1999;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012
1100148;11;148;NOVA BRASILANDIA D'OESTE;Secretaria municipal exclusiva;Ensino superior completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;1977;Sim, com legislação específica;2001;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-
1100155;11;155;OURO PRETO DO OESTE;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2006;Não foi atualizado;-;Sim, com legislação específica;1987;Sim, com legislação específica;2006;Sim, com legislação específica;1984;Sim, com legislação específica;1984;Sim, com legislação específica;2001;Sim, com legislação específica;1983;Sim, com legislação específica;1986;Não;-;Sim, com legislação específica;1987;Sim, com legislação específica;1987;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1983;Não;-;Não;-
1100189;11;189;PIMENTA BUENO;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2013;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2013;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1983;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1969;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2004;Sim, com legislação específica;2013
1100205;11;205;PORTO VELHO;Secretaria municipal em conjunto com outras políticas;Mestrado ou doutorado;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1999;Sim, com legislação específica;1999;Sim, com legislação específica;1999;Sim, com legislação específica;2010;Sim, com legislação específica;2004;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2015;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100254;11;254;PRESIDENTE MEDICI;Secretaria municipal exclusiva;Ensino superior completo;Sim;2003;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;1989;Sim, com legislação específica;1989;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1989;Sim, com legislação específica;2012;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-
1100262;11;262;RIO CRESPO;Setor subordinado a outra secretaria;Ensino superior completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2008;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100288;11;288;ROLIM DE MOURA;Secretaria municipal em conjunto com outras políticas;Ensino superior incompleto;Sim;2008;Não foi atualizado;-;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2015;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2009;Sim, com legislação específica;1998;Sim, com legislação específica;1998;Sim, com legislação específica;2009
1100296;11;296;SANTA LUZIA D'OESTE;Secretaria municipal exclusiva;Ensino médio completo;Não;-;-;Sim;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100304;11;304;VILHENA;Secretaria municipal exclusiva;Pós-graduação;Sim;2006;Não foi atualizado;-;Sim, com legislação específica;2013;Não;-;Sim, com legislação específica;2013;Sim, com legislação específica;2001;Sim, com legislação específica;1986;Não;-;Sim, com legislação específica;2001;Não;-;Sim, com legislação específica;2011;Sim, com legislação específica;1986;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Não;-
1100320;11;320;SAO MIGUEL DO GUAPORE;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2007;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2007;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;2007;Não;-;Não;-;Sim, com legislação específica;2007;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Sim, com legislação específica;2007
1100338;11;338;NOVA MAMORE;Secretaria municipal exclusiva;Ensino superior completo;Sim;2013;2014;-;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Sim, com legislação específica;1989;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Sim, com legislação específica;2014;Sim, com legislação específica;2010;Não;-;Sim, com legislação específica;2014;Sim, com legislação específica;2014;Sim, com legislação específica;2012;Sim, com legislação específica;2008;Não;-;Não;-;Sim, com legislação específica;2011;Sim, com legislação específica;2012;Não;-;Sim, com legislação específica;2014;Sim, com legislação específica;2014;Sim, com legislação específica;2012
1100346;11;346;ALVORADA D'OESTE;Setor subordinado diretamente ao chefe do Executivo;Ensino médio completo;Sim;2008;Não foi atualizado;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2009;Sim, com legislação específica;2001;Sim, com legislação específica;2012;Sim, com legislação específica;2009
1100379;11;379;ALTO ALEGRE DOS PARECIS;Secretaria municipal exclusiva;Pós-graduação;Sim;2012;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100403;11;403;ALTO PARAISO;Não possui estrutura;-;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2004;Sim, com legislação específica;2009;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Não;-;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Sim, com legislação específica;2013;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100452;11;452;BURITIS;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2008;Não foi atualizado;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, com legislação específica;2002;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2003;Não;-;Sim, com legislação específica;2014
1100502;11;502;NOVO HORIZONTE DO OESTE;Setor subordinado diretamente ao chefe do Executivo;Pós-graduação;Não;-;-;Sim;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1995;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100601;11;601;CACAULANDIA;Setor subordinado diretamente ao chefe do Executivo;Pós-graduação;Sim;1995;2010;-;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1995;Não;-;Não;-;Não;-;Sim, com legislação específica;1995;Não;-;Não;-;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Não;-
1100700;11;700;CAMPO NOVO DE RONDONIA;Secretaria municipal exclusiva;Ensino médio completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;1992;Não;-;Não;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100809;11;809;CANDEIAS DO JAMARI;Secretaria municipal exclusiva;Ensino médio incompleto;Sim;2012;Não foi atualizado;-;Sim, com legislação específica;2015;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Sim, com legislação específica;1999;Sim, com legislação específica;1999;Sim, com legislação específica;2015;Sim, com legislação específica;1998;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Sim, com legislação específica;2012
1100908;11;908;CASTANHEIRAS;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1993;Sim, com legislação específica;1993;Sim, com legislação específica;1993;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Sim, com legislação específica;1993;Não;-;Sim, com legislação específica;1993;Não;-;Não;-;Sim, com legislação específica;1993;Não;-;Sim, com legislação específica;1993;Não;-;Não;-;Sim, com legislação específica;1993
1100924;11;924;CHUPINGUAIA;Secretaria municipal exclusiva;Ensino médio completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;1997;Sim, com legislação específica;2014;Sim, com legislação específica;2014;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100940;11;940;CUJUBIM;Não possui estrutura;-;Não;-;-;Sim;Sim, com legislação específica;2013;Sim, com legislação específica;2013;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Não;-;Não;-;Sim, com legislação específica;2011;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2015;Não;-;Não;-
1101005;11;1005;GOVERNADOR JORGE TEIXEIRA;Secretaria municipal em conjunto com outras políticas;Ensino fundamental completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2011;Não;-;Sim, com legislação específica;1998;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2013;Não;-;Não;-
1101104;11;1104;ITAPUA DO OESTE;Setor subordinado diretamente ao chefe do Executivo;Ensino fundamental completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;1997;Não;-;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Sim, com legislação específica;2004;Sim, com legislação específica;2005;Não;-
1101203;11;1203;MINISTRO ANDREAZZA;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Não;-;-;Sim;Sim, com legislação específica;2010;Não;-;Não;-;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101302;11;1302;MIRANTE DA SERRA;Secretaria municipal em conjunto com outras políticas;Ensino superior incompleto;Não;-;-;Não;Sim, com legislação específica;1997;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2008;Sim, com legislação específica;1997;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2008;Não;-;Sim, com legislação específica;1997
1101401;11;1401;MONTE NEGRO;Secretaria municipal exclusiva;Ensino superior completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1993;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2000;Sim, com legislação específica;2000;Não;-;Sim, com legislação específica;2013;Sim, com legislação específica;2000;Sim, com legislação específica;2013;Não;-;Não;-;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2013
1101435;11;1435;NOVA UNIAO;Secretaria municipal em conjunto com outras políticas;Ensino superior incompleto;Não;-;-;Não;Sim, com legislação específica;1997;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Sim, com legislação específica;1992;Sim, com legislação específica;1999;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101450;11;1450;PARECIS;Setor subordinado diretamente ao chefe do Executivo;Ensino médio completo;Não;-;-;Sim;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101468;11;1468;PIMENTEIRAS DO OESTE;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101476;11;1476;PRIMAVERA DE RONDONIA;Secretaria municipal exclusiva;Ensino superior completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-
1101484;11;1484;SAO FELIPE D'OESTE;Setor subordinado diretamente ao chefe do Executivo;Ensino superior incompleto;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2000;Sim, com legislação específica;2003;Sim, com legislação específica;2001;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-
1101492;11;1492;SAO FRANCISCO DO GUAPORE;Secretaria municipal exclusiva;Ensino superior incompleto;Sim;2013;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Não;-;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-
1101500;11;1500;SERINGUEIRAS;Secretaria municipal exclusiva;Ensino superior incompleto;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101559;11;1559;TEIXEIROPOLIS;Secretaria municipal em conjunto com outras políticas;Ensino fundamental incompleto;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1997;Sim, com legislação específica;1997;Sim, com legislação específica;1997;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101609;11;1609;THEOBROMA;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1999;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101708;11;1708;URUPA;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2014;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;2013;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;1989;Sim, com legislação específica;2015;Não;-;Não;-;Sim, com legislação específica;1989;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1101757;11;1757;VALE DO ANARI;Secretaria municipal em conjunto com outras políticas;Mestrado ou doutorado;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;2000;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Sim, com legislação específica;2012;Não;-;Não;-;Sim, com legislação específica;1994;Não;-;Sim, com legislação específica;1994;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Sim, com legislação específica;2012
1101807;11;1807;VALE DO PARAISO;Secretaria municipal em conjunto com outras políticas;Ensino médio completo;Não;-;-;Não;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Sim, com legislação específica;1995;Sim, com legislação específica;2011;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Não;-;Não;-;Sim, com legislação específica;1993;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1200013;12;13;ACRELANDIA;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Não;-;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1200054;12;54;ASSIS BRASIL;Não possui estrutura;-;Sim;2012;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, com legislação específica;2012;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
